特雷弗·诺亚：非裔美国人,8.7,特雷弗·诺亚,https://movie.douban.com/subject/25959109/
金色池塘,8.9,朱莉·安德鲁斯  克里斯托弗·普卢默  格伦妮·海德利  山姆·洛巴兹  布莱特·卡伦,https://movie.douban.com/subject/5135239/
孪生姐妹妙事多,8.5,Mary-Kate Olsen  Ashley Olsen  Cloris Leachman,https://movie.douban.com/subject/2223032/
比尔·博尔：你玻璃心我也没辙,8.8,比尔·伯尔,https://movie.douban.com/subject/25961499/
跃马英雄,8.7,加布里埃尔·安瓦尔  迈克尔·舍夫林  克里夫·罗伯逊,https://movie.douban.com/subject/1303779/
星光太亮之夜：全美联合助阵自闭症教育计划,8.7,乔恩·斯图尔特  杰瑞·宋飞  蒂娜·菲  吉米·坎摩尔  汤姆·汉克斯,https://movie.douban.com/subject/20277287/
博学无术2,8.6,Alexandra Lockwood  Raj Katti  K. Zachary Abbott  Fawzia Mirza  Crystal Dilworth,https://movie.douban.com/subject/26417412/
周六夜现场：唐纳德·格洛弗,8.6,唐纳德·格洛弗,https://movie.douban.com/subject/30201210/
Demetri Martin: Live (At the Time),8.7,Demetri Martin,https://movie.douban.com/subject/26392701/
真相至上,8.6,Paul Rodriguez,https://movie.douban.com/subject/3006104/
杰夫·敦哈姆：关注怪兽们,8.9,杰夫·敦哈姆 Jeff Dunham,https://movie.douban.com/subject/20026380/
Bo Burnham: What,8.6,博·伯翰,https://movie.douban.com/subject/25785803/
瑞奇·热维斯：人性,8.7,瑞奇·热维斯,https://movie.douban.com/subject/30156995/
杰夫·唐纳姆：浪遍全球,8.6,杰夫·唐纳姆,https://movie.douban.com/subject/26268346/
WWE Smackdown十周年精华集,8.8,Kurt Angle  Steve Blackman  Chyna  Mick Foley,https://movie.douban.com/subject/4026505/
晨星之子,8.6,盖瑞·科尔  罗姗娜·阿奎特  蒂姆伦森  Nick Ramus  罗德尼·格兰特,https://movie.douban.com/subject/3087666/
惊变世界,8.6,米里亚娜·约科维奇  Svetlana Bojkovic  普雷德拉格·埃伊杜斯  Mihailo 'Misa' Janketic  Dusica Zegarac,https://movie.douban.com/subject/1765836/
新鲜,8.7,Sean Nelson  Giancarlo Esposito  Samuel L. Jackson,https://movie.douban.com/subject/1295530/
合家喜庆,8.6,琳达·卡特  史蒂文·艾克霍尔德特  Ari Meyers,https://movie.douban.com/subject/2032461/
摔角狂热 26,8.9,约翰·塞纳,https://movie.douban.com/subject/5156138/
1999末路狂花,8.7,,https://movie.douban.com/subject/1303954/
轰炸体制,,,https://movie.douban.com/subject/1931615/
暮色之中,8.7,格伦·克洛斯  罗伯特·肖恩·莱纳德  乌比·戈德堡  布里吉特·芳达  大卫·斯特雷泽恩,https://movie.douban.com/subject/2074788/
那个地方伊拉克,8.7,Josh Henderson  卢克·马可法莱恩  Erik Palladino,https://movie.douban.com/subject/5177744/
CKY 3,8.6,班姆·玛吉瑞  瑞恩·邓恩  Rakeyohn,https://movie.douban.com/subject/2054468/
1028,8.8,黄潇  刘翀  杨五洲  王默  肖睿,https://movie.douban.com/subject/20495631/
美人,8.9,简宁·特纳  杰米·谢尔丹  林登·阿什比  马尔科姆·斯图尔特  凯文·麦克纳尔蒂,https://movie.douban.com/subject/2995424/
我为喜剧狂 直播秀,8.8,,https://movie.douban.com/subject/10788173/
